1416580489.000000, 1416580489.000000, 1416580489.000000
32.000000, 32.000000, 32.000000
6,-5,71
5,-5,70
4,-8,72
5,-4,73
5,-4,73
3,-11,68
1,-6,64
4,-3,65
2,-6,61
5,-9,61
8,-7,61
4,-7,71
10,-6,80
13,-6,64
16,-3,61
16,-9,64
15,-21,64
14,-22,60
16,-20,59
17,-17,56
17,-20,60
18,-18,59
17,-24,57
20,-23,60
18,-21,60
18,-20,60
17,-20,59
18,-21,59
19,-20,60
18,-20,58
17,-22,57
17,-20,60
16,-19,60
16,-18,60
16,-22,56
16,-21,57
16,-15,56
17,-15,61
21,-17,64
23,-12,64
18,-14,61
14,-11,62
12,-15,59
11,-18,57
12,-17,58
16,-17,57
19,-17,58
23,-15,61
25,-17,61
21,-21,58
22,-14,62
11,-30,57
4,-20,57
22,-1,62
26,-5,66
39,3,56
29,-13,59
31,-15,64
29,-9,53
28,-23,56
19,-9,42
24,-10,57
17,-14,67
16,-38,62
8,-26,49
12,-22,52
18,-19,59
23,-14,61
22,-14,61
22,-16,58
22,-18,59
24,-21,56
27,-18,60
24,-13,59
23,-19,60
25,-21,62
20,-19,60
18,-19,63
28,-14,70
12,-27,53
12,-15,57
17,-12,63
10,-14,60
9,-2,62
10,-8,62
7,-22,55
5,-23,56
11,-26,60
17,-23,59
19,-28,58
22,-28,60
17,-24,54
21,-22,60
21,-19,63
21,-19,61
20,-21,58
20,-17,58
20,-17,60
20,-19,58
20,-18,60
21,-19,58
19,-19,58
20,-14,60
20,-20,58
20,-21,59
21,-21,60
28,-16,66
25,-15,65
22,-16,65
21,-16,59
13,-22,53
16,-19,53
10,-11,57
9,-12,55
9,-11,54
6,-11,59
4,-9,65
12,-18,62
15,-22,64
17,-23,63
20,-18,57
16,-18,59
14,-15,60
14,-19,55
20,-25,64
19,-19,58
19,-20,57
17,-22,57
17,-23,55
15,-22,58
17,-22,59
18,-19,62
16,-19,56
22,-16,63
20,-16,60
19,-18,59
18,-19,60
18,-19,59
17,-19,58
18,-18,58
19,-18,60
18,-18,59
19,-18,59
18,-19,59
18,-20,58
18,-19,58
19,-19,59
19,-18,59
18,-19,59
18,-19,59
18,-20,59
18,-20,59
18,-21,57
19,-20,59
20,-19,59
19,-20,58
20,-16,56
19,-20,58
20,-19,59
20,-26,64
19,-19,57
20,-21,61
16,-18,56
15,-17,59
18,-19,60
9,-22,57
23,-16,63
17,-20,58
15,-21,57
17,-21,60
18,-19,60
18,-19,59
16,-21,59
16,-21,57
16,-19,58
17,-19,59
17,-20,59
17,-20,59
16,-21,58
17,-21,59
17,-20,58
17,-20,59
17,-21,59
17,-21,58
17,-21,58
17,-21,58
17,-20,58
17,-20,58
18,-20,59
17,-22,58
20,-20,59
19,-19,59
18,-19,59
18,-25,58
19,-15,61
18,-15,63
19,-17,57
17,-25,58
19,-26,58
19,-22,58
18,-13,56
14,-15,58
